;ID;Name;Age;Overall;Position;Crossing;Finishing;HeadingAccuracy;ShortPassing;Volleys;Dribbling;Curve;FKAccuracy;LongPassing;BallControl;Acceleration;SprintSpeed;Agility;Reactions;Balance;ShotPower;Jumping;Stamina;Strength;LongShots;Aggression;Interceptions;Positioning;Vision;Penalties;Composure;Marking;StandingTackle;SlidingTackle
51;172871;J. Vertonghen;31;87;LCB;68;56;80;79;52;71;58;73;74;76;61;65;61;84;60;80;85;75;79;66;84;89;60;68;66;83;90;87;88
52;171877;M. Ham?°k;30;87;LCM;78;79;74;88;79;86;80;72;83;87;69;68;76;88;66;82;71;84;67;83;56;72;88;86;70;84;75;73;62
53;168651;I. Rakiti?;30;87;RCM;84;83;58;87;80;84;88;84;90;87;66;59;72;77;66;84;39;84;66;90;67;75;79;86;82;81;72;74;70
54;152729;PiquÇ;31;87;RCB;57;64;83;81;57;59;58;43;80;78;49;60;58;84;36;62;74;65;83;51;72;88;58;62;69;86;91;86;84
55;222492;L. SanÇ;22;86;LW;83;81;72;79;85;88;82;68;64;85;93;96;88;81;81;86;64;79;70;78;61;34;84;82;71;78;36;32;35
56;218667;Bernardo Silva;23;86;RW;85;75;51;85;69;92;83;67;79;91;84;74;90;82;88;70;50;78;48;72;58;49;83;86;68;85;49;44;35
57;210257;Ederson;24;86;GK;20;14;14;56;18;23;15;20;58;37;64;63;60;86;48;42;58;41;68;18;35;25;20;67;17;70;28;15;8
58;208722;S. ManÇ;26;86;LM;73;84;62;79;71;87;74;64;71;86;95;93;91;86;86;82;75;84;67;74;73;35;87;82;71;80;42;42;38
59;203376;V. van Dijk;26;86;LCB;53;52;82;76;45;70;60;70;78;73;74;77;61;85;49;81;85;71;92;64;81;86;41;59;62;83;88;89;84
60;202652;R. Sterling;23;86;RW;77;77;38;84;67;88;70;63;69;87;95;92;93;87;93;73;57;78;52;73;38;30;87;77;69;77;47;58;54
61;201942;Roberto Firmino;26;86;CAM;72;87;77;86;81;87;80;65;75;88;78;77;80;86;81;81;81;90;74;76;73;58;87;85;72;87;60;64;42
62;201535;R. Varane;25;86;RCB;36;40;83;75;42;57;46;54;76;77;83;85;63;83;40;52;79;73;84;53;77;82;44;56;43;82;87;88;87
63;199556;M. Verratti;25;86;LCM;72;60;55;90;64;90;73;64;89;88;69;62;87;85;94;56;64;77;52;58;89;84;71;87;64;93;78;83;80
64;191043;Alex Sandro;27;86;LB;84;55;76;81;68;80;78;59;71;81;83;86;79;84;78;80;79;92;79;72;82;82;70;70;60;82;81;84;84
65;190483;Douglas Costa;27;86;LM;84;67;50;84;76;92;84;78;68;91;97;93;93;84;91;86;61;78;63;80;55;48;76;84;77;84;45;38;34
66;189596;T. MÅller;28;86;CAM;79;87;82;83;84;75;81;59;72;82;73;75;75;91;72;78;81;87;68;80;57;58;92;85;60;83;44;41;44
67;189509;Thiago;27;86;CM;72;69;54;90;90;90;85;77;87;90;78;69;90;84;86;75;75;75;59;79;57;78;79;86;75;85;67;63;65
68;188350;M. Reus;29;86;LM;79;87;49;86;90;87;89;84;75;86;86;85;86;87;81;88;70;73;67;86;49;50;88;86;89;84;47;36;45
69;184432;Azpilicueta;28;86;RB;81;46;76;81;51;69;68;58;80;77;76;76;72;88;73;68;76;87;71;60;82;89;62;74;66;78;88;90;86
70;184344;L. Bonucci;31;86;RCB;44;48;86;77;58;69;56;61;85;75;57;65;60;84;52;74;85;71;83;65;82;90;38;74;70;86;90;86;80
71;184087;T. Alderweireld;29;86;RCB;64;45;82;79;38;62;63;69;85;74;61;66;60;86;50;78;84;74;79;65;80;87;58;67;58;81;90;91;86
72;180206;M. Pjani?;28;86;CDM;80;60;60;89;72;86;86;92;85;89;66;66;77;84;79;78;61;78;66;82;70;78;70;88;79;86;75;74;70
73;177509;M. Benatia;31;86;CB;45;47;83;65;44;64;34;27;65;64;65;75;59;82;53;66;85;69;91;24;86;86;38;47;41;82;89;87;85
74;176635;M. ôzil;29;86;CAM;83;73;54;89;80;84;84;77;82;90;72;69;79;84;70;70;48;69;57;75;48;24;83;91;67;82;24;16;19
75;135507;Fernandinho;33;86;CDM;68;69;63;85;74;77;70;72;81;82;68;67;72;86;78;83;76;79;76;78;87;88;70;75;61;79;85;85;80
76;41;Iniesta;34;86;LF;77;70;54;90;74;90;80;70;85;92;70;67;79;86;84;65;47;55;58;71;58;66;81;93;71;89;67;57;56
77;232363;M. ?kriniar;23;85;LCB;40;42;80;70;40;59;34;30;68;67;70;73;48;81;48;50;78;77;83;30;86;86;30;57;56;80;92;88;82
78;223848;S. Milinkovi?-Savi?;23;85;CM;64;80;86;85;74;86;78;75;85;87;68;70;66;80;59;83;85;85;88;80;73;78;79;85;56;82;75;77;72
79;220834;Marco Asensio;22;85;RW;82;82;50;83;79;86;83;76;82;85;85;82;79;82;76;86;58;76;61;88;45;45;82;84;62;83;40;42;39
80;216594;N. Fekir;24;85;CAM;83;82;49;83;77;90;81;79;75;89;79;79;90;80;91;84;69;80;82;82;73;28;81;81;81;89;31;37;25
81;212831;Alisson;25;85;GK;17;13;19;45;20;27;19;18;44;30;54;45;40;84;37;21;52;32;78;14;27;11;13;66;23;65;15;19;16
82;212622;J. Kimmich;23;85;RCM;90;66;74;85;61;80;81;61;80;85;78;68;84;85;83;75;79;85;65;69;74;79;80;79;44;82;75;81;79
83;208421;Sa£l;23;85;RCM;69;78;83;85;76;83;72;60;83;85;74;73;76;82;69;78;79;86;77;79;69;78;82;82;55;83;77;79;76
84;204485;R. Mahrez;27;85;RW;81;80;48;82;72;91;84;78;76;90;88;83;93;77;88;79;61;76;54;81;48;39;80;81;73;86;45;31;18
85;197445;D. Alaba;26;85;LB;81;63;75;82;68;79;78;84;80;83;79;86;79;84;77;83;82;87;71;82;69;84;76;77;80;79;80;82;80
86;193747;Koke;26;85;LM;86;72;61;90;56;82;85;76;89;86;71;68;74;85;78;84;61;90;79;81;71;66;84;87;59;78;80;69;51
87;193301;A. Lacazette;27;85;ST;64;88;73;80;81;85;74;71;59;83;81;84;85;85;85;83;76;79;73;75;70;42;86;76;84;85;29;42;30
88;192774;K. Manolas;27;85;LCB;27;10;80;60;16;54;30;10;61;65;80;85;68;85;59;40;86;76;82;12;86;86;25;22;26;79;86;87;89
89;192366;N. Otamendi;30;85;CB;52;54;85;75;57;51;50;39;72;70;57;61;64;79;62;69;92;67;80;56;91;84;51;53;45;80;83;85;84
90;189513;Parejo;29;85;RCM;84;79;61;90;72;78;89;90;87;84;51;43;66;78;72;78;51;78;72;82;58;81;81;86;83;78;69;68;60
91;187961;Paulinho;29;85;LDM;64;81;85;84;75;82;66;72;80;84;73;73;69;84;66;83;90;92;81;80;81;81;84;78;71;80;75;81;73
92;186153;W. Szcz?sny;28;85;GK;12;12;16;32;14;11;16;14;36;22;51;47;55;82;51;15;71;45;65;14;40;15;14;48;18;65;20;13;12
93;184941;A. S†nchez;29;85;RW;77;80;73;77;83;87;79;78;75;86;86;79;90;83;87;84;87;83;72;81;79;46;84;82;77;84;38;44;35
94;184267;Y. Brahimi;28;85;LM;79;76;46;79;73;93;84;78;72;86;87;75;92;84;87;69;72;85;49;76;46;38;83;79;75;90;51;36;25
95;183907;J. Boateng;29;85;RCB;69;34;85;75;52;64;53;31;83;70;67;72;56;82;52;78;74;69;91;58;81;81;47;75;46;84;84;87;87
96;181872;A. Vidal;31;85;CAM;76;75;82;83;78;76;76;68;79;82;60;55;74;84;75;86;85;83;79;85;93;84;80;80;81;81;82;87;86
97;181458;I. Peri?i?;29;85;LM;83;79;80;81;81;84;73;75;77;85;84;88;78;81;74;84;84;89;78;79;65;69;85;79;76;80;64;52;54
98;180930;E. D?eko;32;85;ST;63;89;84;77;77;76;65;54;72;84;65;66;57;83;36;86;66;76;80;79;51;50;89;74;67;83;58;28;16
99;179846;S. Khedira;31;85;RCM;72;72;76;85;78;81;68;68;82;84;54;60;55;87;54;82;68;78;87;78;82;86;79;82;69;84;80;83;76
100;179844;Diego Costa;29;85;LS;65;87;82;65;81;77;62;59;52;83;74;76;58;85;53;83;64;76;92;74;93;40;87;74;75;83;58;39;34
101;178518;R. Nainggolan;30;85;CAM;73;75;59;84;75;80;73;68;81;85;78;73;76;87;82;84;76;93;77;86;88;86;86;76;63;84;83;86;90
102;171919;Naldo;35;85;CB;45;57;94;76;60;60;52;76;70;68;60;65;46;85;36;92;45;61;83;82;72;83;53;59;60;84;86;88;85
103;170890;B. Matuidi;31;85;LM;75;64;68;83;72;78;65;52;77;79;79;77;83;84;79;78;84;94;76;70;86;86;72;76;56;82;85;84;86
104;168609;Miranda;33;85;CB;48;43;80;70;51;67;32;39;69;73;66;69;61;81;57;70;82;65;79;41;83;85;43;58;49;81;90;90;85
105;165153;K. Benzema;30;85;ST;75;81;80;83;82;83;79;73;62;86;76;76;76;83;66;81;73;75;80;75;65;22;86;85;82;79;47;15;12
106;164169;Filipe Lu°s;32;85;LB;86;59;72;80;56;77;74;75;77;83;76;75;75;85;62;71;71;89;74;60;81;84;71;70;65;88;78;84;86
107;139720;V. Kompany;32;85;CB;61;45;84;73;46;63;61;52;66;70;52;59;57;87;41;75;72;66;87;55;87;82;41;59;63;81;87;85;84
108;120533;Pepe;35;85;RCB;46;46;80;70;23;58;44;47;61;62;65;70;63;83;49;63;76;60;86;56;94;85;40;48;57;79;86;85;82
109;41236;Z. Ibrahimovi?;36;85;RS;73;86;83;79;86;79;82;82;73;84;58;59;75;82;39;90;68;61;86;82;84;20;85;79;89;90;28;37;24
110;220793;D. S†nchez;22;84;RCB;36;40;80;77;28;63;30;27;67;73;72;79;60;80;55;66;73;76;83;44;87;82;34;49;44;75;84;85;88
111;216460;J. GimÇnez;23;84;RCB;47;37;81;68;30;47;36;44;58;56;69;70;56;76;43;72;92;67;85;48;89;85;24;27;38;73;88;86;87
112;212462;Alex Telles;25;84;LB;89;65;74;83;67;82;87;79;86;82;84;85;73;83;70;80;81;92;68;75;78;80;76;74;68;80;80;81;79
113;212218;A. Laporte;24;84;LCB;58;45;85;76;40;59;61;69;78;73;62;66;45;83;55;68;75;67;82;47;75;85;54;57;44;77;85;86;87
114;212198;Bruno Fernandes;23;84;LCM;84;73;58;85;84;83;85;81;82;85;79;76;77;84;78;87;72;89;67;88;65;70;79;86;81;83;63;66;53
115;212190;N. SÅle;22;84;CB;30;20;86;78;31;42;28;30;63;63;52;84;33;79;33;77;38;65;94;62;82;82;26;30;32;72;82;85;83
116;211300;A. Martial;22;84;LW;76;84;69;77;74;87;84;54;60;86;88;89;85;81;81;84;74;75;75;80;58;42;83;73;81;79;38;39;36
117;211117;D. Alli;22;84;LCM;69;83;77;85;79;83;75;68;80;85;73;76;76;85;62;78;67;90;71;80;84;74;86;85;74;86;70;70;63
118;209499;Fabinho;24;84;CDM;79;66;75;83;47;76;71;53;78;82;69;72;69;83;67;78;75;92;79;65;85;84;70;75;91;84;83;86;84
119;207865;Marquinhos;24;84;LDM;72;33;80;81;31;59;49;32;78;76;73;76;69;81;68;53;86;75;74;35;80;84;46;51;31;79;85;87;87
120;207566;William Carvalho;26;84;CDM;68;52;73;84;50;80;79;50;86;79;49;53;51;75;51;59;69;84;90;55;75;84;64;83;60;89;84;85;68
121;205498;Jorginho;26;84;CM;75;57;56;89;71;82;75;76;87;85;75;69;80;83;73;71;58;79;66;62;79;78;72;87;84;79;63;78;70
122;204970;F. Thauvin;25;84;RM;83;81;75;83;74;85;86;72;76;86;87;80;86;83;71;83;76;83;66;82;56;42;83;80;74;82;46;29;31
123;204963;Carvajal;26;84;RB;83;41;70;81;34;76;72;47;71;83;79;84;81;82;79;64;76;84;74;36;81;83;61;57;45;77;83;83;85
124;202556;M. Depay;24;84;ST;79;79;65;80;74;85;85;88;74;85;87;87;82;79;79;87;74;79;80;81;76;28;83;82;75;79;29;31;20
125;200104;H. Son;25;84;LM;78;85;65;79;79;88;81;70;64;85;88;87;82;84;76;86;63;85;63;88;60;39;85;80;71;82;48;34;33
126;199482;A. Lopes;27;84;GK;19;18;16;32;13;15;15;14;31;21;63;64;67;84;62;20;82;36;73;18;43;25;9;48;16;65;13;15;13
127;198176;S. de Vrij;26;84;CB;49;25;80;71;27;63;45;16;71;71;67;69;61;80;59;65;76;66;80;60;78;87;32;59;41;82;88;87;83
128;198009;M. Perin;25;84;GK;11;11;12;33;19;19;15;13;31;23;57;56;70;79;30;23;75;30;52;17;25;19;12;44;21;65;20;12;19
129;193082;J. Cuadrado;30;84;RAM;80;67;58;80;70;90;78;69;69;85;89;93;91;80;82;84;75;78;61;80;78;62;78;76;65;80;63;70;74
130;192629;Iago Aspas;30;84;ST;80;88;78;79;83;86;80;76;64;85;85;78;87;85;74;79;68;75;60;82;63;39;86;75;82;85;39;21;18
131;192563;B. Leno;26;84;GK;9;9;13;45;10;16;9;8;40;22;46;52;52;80;44;23;73;43;68;14;28;22;7;54;23;66;27;15;18
132;191202;N. Mati?;29;84;CDM;71;64;74;84;73;80;72;67;83;79;52;59;44;83;50;83;67;84;85;75;80;86;69;73;64;84;83;84;75
133;190941;L. Hr†deck?;28;84;GK;11;11;11;15;9;10;11;15;20;20;38;44;43;83;39;14;69;34;55;14;31;18;9;53;20;48;10;10;13
134;190584;Illarramendi;28;84;RDM;68;72;51;86;58;78;76;68;82;83;66;57;71;84;75;69;63;77;68;76;76;87;79;86;50;79;69;83;80
135;188377;K. Walker;28;84;RB;81;51;74;78;57;79;76;71;67;78;86;93;67;83;72;86;83;89;75;69;78;81;67;69;63;75;78;84;83
136;186942;I. GÅndo?an;27;84;CM;74;73;50;88;75;85;81;74;83;86;67;68;78;85;78;77;61;69;72;73;70;77;79;86;76;87;73;68;64
137;185020;JosÇ Callej¢n;31;84;RM;82;78;65;80;84;82;73;65;51;85;88;89;85;82;80;78;73;91;55;80;54;40;88;78;62;79;64;32;32
138;183898;A. Di Mar°a;30;84;RM;83;72;51;82;77;86;84;82;79;85;85;84;92;80;77;83;72;73;60;77;73;38;82;82;73;82;35;59;56
139;181783;M. Mand?uki?;32;84;ST;72;84;90;75;86;76;64;49;67;77;67;73;67;86;53;80;85;83;85;60;88;66;90;74;76;80;59;64;64
140;180403;Willian;29;84;RW;76;77;31;80;59;88;82;83;77;84;91;86;89;82;79;79;41;85;60;81;44;55;80;83;70;79;43;57;51
141;178750;Sergio Asenjo;29;84;GK;24;14;13;39;15;15;23;22;39;14;59;54;62;79;58;24;73;41;73;13;20;22;12;46;15;64;24;15;14
142;178562;E. Banega;30;84;CDM;80;66;49;88;65;84;83;81;87;86;68;64;79;77;83;74;57;74;67;78;73;76;75;88;78;80;75;69;64
143;177413;A. Witsel;29;84;LCM;69;71;80;89;77;78;69;68;79;84;67;74;78;84;60;78;76;86;82;74;82;80;75;79;81;89;80;79;85
144;177388;D. Payet;31;84;CAM;87;78;59;84;77;86;90;84;80;90;75;72;79;75;80;80;48;73;72;82;57;37;79;87;74;82;32;36;39
145;176769;Jonas;34;84;ST;70;88;84;76;85;84;85;77;75;88;65;64;77;85;69;84;69;66;63;85;61;34;87;83;84;87;31;36;25
146;172879;Sokratis;30;84;RCB;47;44;85;60;46;58;29;35;51;58;64;73;60;81;64;77;86;69;86;48;88;77;49;45;24;82;85;87;85
147;167628;S. Ruffier;31;84;GK;11;11;12;33;13;12;17;12;34;15;45;50;51;78;55;21;72;37;76;11;31;25;12;49;25;66;13;12;11
148;167397;Falcao;32;84;RS;55;86;89;79;84;75;83;73;58;82;69;66;76;85;75;79;91;68;75;80;75;41;88;70;81;87;39;42;19
149;163587;K. Schmeichel;31;84;GK;18;12;16;44;15;12;13;15;46;40;59;60;62;81;47;36;60;34;64;14;35;20;13;59;26;67;14;14;13
150;157481;Ra£l Albiol;32;84;RCB;38;27;77;74;31;59;53;45;72;71;54;53;53;82;56;65;77;55;82;53;81;86;30;57;37;75;89;87;85
151;143076;A. G¢mez;30;84;LS;82;76;38;82;72;89;79;79;74;87;94;86;92;83;94;76;70;75;48;79;56;40;81;85;72;84;50;30;34
152;137186;A. Barzagli;37;84;CB;40;21;72;65;35;64;50;31;65;65;61;77;52;80;64;54;81;53;83;39;66;90;28;62;60;88;94;90;82
153;20775;Quaresma;34;84;RM;92;67;41;79;80;89;94;73;75;88;84;82;91;78;84;79;63;65;55;80;74;24;78;84;74;80;29;17;13
154;9014;A. Robben;34;84;RM;80;85;51;82;86;89;90;81;71;88;83;76;87;85;90;86;60;64;67;86;47;37;84;80;78;85;30;26;26
155;231443;O. DembÇlÇ;21;83;RW;78;78;43;78;76;90;78;64;70;83;93;92;90;82;85;83;59;73;46;70;54;36;79;84;75;75;42;30;33
156;230666;Gabriel Jesus;21;83;ST;66;84;74;76;72;86;76;54;66;85;87;85;92;86;91;78;77;84;68;73;73;32;88;77;78;82;53;23;19
157;230481;Ronaldo Cabrais;26;83;RW;83;74;64;83;76;85;86;78;82;83;88;87;85;84;76;82;64;86;70;78;62;40;82;83;77;81;24;35;33
158;230375;JosuÇ Chiamulera;26;83;LCB;40;38;83;74;44;56;45;49;61;70;83;78;77;85;68;53;69;76;73;41;88;84;38;42;56;71;85;87;82
159;230294;Louri Beretta;26;83;ST;56;85;83;73;82;75;59;67;47;74;79;83;55;84;55;85;84;56;87;82;65;32;83;58;77;79;26;27;24
160;225850;P. Kimpembe;22;83;LCB;62;31;79;79;33;58;50;32;75;78;75;78;74;79;65;55;77;80;84;39;85;83;39;60;50;80;80;83;83
161;220971;N. Keãta;23;83;CM;62;74;42;88;71;88;64;70;78;88;78;60;89;82;90;76;53;82;58;73;78;75;74;81;58;79;68;62;61
162;219683;C. Tolisso;23;83;CM;67;75;82;84;62;77;66;73;86;81;75;66;75;83;74;82;90;87;77;81;81;76;79;80;70;74;75;78;71
163;213565;T. Lemar;22;83;LM;83;75;54;84;78;85;85;81;75;86;86;84;87;80;86;79;71;79;63;76;63;66;77;85;68;80;55;59;63
164;213345;K. Coman;22;83;LM;81;76;52;77;77;88;84;70;63;83;95;93;87;81;84;77;75;76;61;73;36;23;79;75;70;75;29;17;15
165;213331;J. Tah;22;83;CB;35;20;80;74;24;55;30;27;69;64;64;77;48;82;44;44;72;63;93;25;76;80;27;61;38;75;80;88;84
166;212523;Anderson Talisca;24;83;CAM;78;80;77;81;76;82;86;87;79;84;77;76;76;79;65;84;58;76;72;88;67;58;86;81;71;74;55;62;42
167;212188;T. Werner;22;83;RW;69;87;76;77;82;83;62;56;55;84;93;93;81;86;76;74;78;83;59;67;63;37;85;61;72;74;39;20;19
168;210008;A. Rabiot;23;83;CM;70;69;77;85;72;79;73;59;83;83;73;74;79;83;72;80;73;82;80;79;76;80;76;80;69;82;70;81;75
169;209658;L. Goretzka;23;83;CM;75;72;75;84;68;81;76;75;79;83;84;79;76;83;70;77;67;86;70;78;80;83;77;82;60;80;70;79;78
170;208808;Q. Promes;26;83;RM;79;86;60;78;69;84;75;76;73;82;90;91;87;82;79;82;82;83;61;83;60;33;79;81;74;78;36;30;32
171;208670;H. Ziyech;25;83;RAM;84;68;53;86;77;83;90;78;89;83;76;74;85;82;78;80;38;86;59;75;71;62;75;88;73;83;52;66;36
172;208618;Lucas V†zquez;27;83;RW;86;73;52;83;54;82;82;75;75;83;84;79;79;85;84;82;68;90;57;80;65;44;81;83;56;75;42;50;44
173;208418;Y. Carrasco;24;83;LM;78;79;53;77;68;88;81;78;71;87;89;87;88;83;71;84;68;74;59;75;61;18;81;71;74;75;58;39;26
174;208093;Gerard Moreno;26;83;LS;61;83;80;78;79;78;71;56;56;81;77;80;70;82;69;81;72;72;74;77;55;40;83;58;73;72;43;41;41
